z_final	mh_final	bin_left	bin_right	bin_center	pdf
6.000000	1.000000e+09	-25.34105859	-25.16592145	-25.25349002	0.000000000000e+00
6.000000	1.000000e+09	-25.16592145	-24.99078431	-25.07835288	0.000000000000e+00
6.000000	1.000000e+09	-24.99078431	-24.81564717	-24.90321574	0.000000000000e+00
6.000000	1.000000e+09	-24.81564717	-24.64051003	-24.72807860	0.000000000000e+00
6.000000	1.000000e+09	-24.64051003	-24.46537288	-24.55294145	0.000000000000e+00
6.000000	1.000000e+09	-24.46537288	-24.29023574	-24.37780431	0.000000000000e+00
6.000000	1.000000e+09	-24.29023574	-24.11509860	-24.20266717	0.000000000000e+00
6.000000	1.000000e+09	-24.11509860	-23.93996146	-24.02753003	0.000000000000e+00
6.000000	1.000000e+09	-23.93996146	-23.76482431	-23.85239288	0.000000000000e+00
6.000000	1.000000e+09	-23.76482431	-23.58968717	-23.67725574	0.000000000000e+00
6.000000	1.000000e+09	-23.58968717	-23.41455003	-23.50211860	0.000000000000e+00
6.000000	1.000000e+09	-23.41455003	-23.23941289	-23.32698146	0.000000000000e+00
6.000000	1.000000e+09	-23.23941289	-23.06427574	-23.15184432	0.000000000000e+00
6.000000	1.000000e+09	-23.06427574	-22.88913860	-22.97670717	0.000000000000e+00
6.000000	1.000000e+09	-22.88913860	-22.71400146	-22.80157003	0.000000000000e+00
6.000000	1.000000e+09	-22.71400146	-22.53886432	-22.62643289	0.000000000000e+00
6.000000	1.000000e+09	-22.53886432	-22.36372717	-22.45129575	0.000000000000e+00
6.000000	1.000000e+09	-22.36372717	-22.18859003	-22.27615860	0.000000000000e+00
6.000000	1.000000e+09	-22.18859003	-22.01345289	-22.10102146	0.000000000000e+00
6.000000	1.000000e+09	-22.01345289	-21.83831575	-21.92588432	0.000000000000e+00
6.000000	1.000000e+09	-21.83831575	-21.66317861	-21.75074718	0.000000000000e+00
6.000000	1.000000e+09	-21.66317861	-21.48804146	-21.57561003	0.000000000000e+00
6.000000	1.000000e+09	-21.48804146	-21.31290432	-21.40047289	0.000000000000e+00
6.000000	1.000000e+09	-21.31290432	-21.13776718	-21.22533575	0.000000000000e+00
6.000000	1.000000e+09	-21.13776718	-20.96263004	-21.05019861	0.000000000000e+00
6.000000	1.000000e+09	-20.96263004	-20.78749289	-20.87506146	0.000000000000e+00
6.000000	1.000000e+09	-20.78749289	-20.61235575	-20.69992432	0.000000000000e+00
6.000000	1.000000e+09	-20.61235575	-20.43721861	-20.52478718	0.000000000000e+00
6.000000	1.000000e+09	-20.43721861	-20.26208147	-20.34965004	0.000000000000e+00
6.000000	1.000000e+09	-20.26208147	-20.08694432	-20.17451290	0.000000000000e+00
